author,author_type,url,floor,floors_total,rooms,meters,district,street,house_number,price
,,https://www.cian.ru/rent/flat/306205836/,10,48,2,39.0,Даниловский,Дубининская ,59А,135000
,,https://www.cian.ru/rent/flat/306079011/,2,14,2,68.0,Замоскворечье,Большой Строченовский переулок,9,230000
,,https://www.cian.ru/rent/flat/305844699/,9,48,2,52.0,Даниловский,Дубининская ,59А,150000
,,https://www.cian.ru/rent/flat/305783489/,2,14,2,65.0,Замоскворечье,Большой Строченовский переулок,9,250000
,,https://www.cian.ru/rent/flat/305141968/,30,46,2,56.5,Даниловский,Дубининская ,59А,180000
,,https://www.cian.ru/rent/flat/305077245/,3,18,2,60.0,Даниловский,Дубининская ,59С1,170000
,,https://www.cian.ru/rent/flat/304876815/,6,6,2,56.0,Даниловский,Мытная ,23,140000
,,https://www.cian.ru/rent/flat/304351935/,5,9,2,40.0,Даниловский,Дубининская ,59к5,130000
,,https://www.cian.ru/rent/flat/303767720/,14,14,2,52.1,Замоскворечье,Люсиновская ,26-28к6,120000
,,https://www.cian.ru/rent/flat/302013928/,3,6,2,64.0,Даниловский,Люсиновская ,64К1,90000
,homeowner,https://www.cian.ru/rent/flat/296905152/,7,8,2,49.5,Даниловский,Люсиновская ,72,100000
,,https://www.cian.ru/rent/flat/294787675/,2,7,2,60.0,Замоскворечье,Шлюзовая набережная,2А,230000
CENTURY 21 RnB Estate,real_estate_agent,https://www.cian.ru/rent/flat/307543838/,2,9,3,60.0,Даниловский,Самаринская ,1,170000
ID 12706889,homeowner,https://www.cian.ru/rent/flat/290657242/,2,9,3,60.0,Даниловский,Самаринская ,1,170000
ID 46989435,realtor,https://www.cian.ru/rent/flat/307185557/,14,16,1,40.0,Можайский,Вяземская ,12к1,58000
Антон Пелипенко,realtor,https://www.cian.ru/rent/flat/301611711/,1,14,1,40.0,Кунцево,Ярцевская ,4К2,85000
ID 49132532,unknown,https://www.cian.ru/rent/flat/298504830/,2,5,1,25.0,Кунцево,Ярцевская ,13,56000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307432137/,2,5,2,57.0,Можайский, Гришина,24К1,100000
Любовь Пашкова,realtor,https://www.cian.ru/rent/flat/307410680/,12,18,2,79.6,Можайский,Можайское шоссе,45К1,125000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307339850/,7,9,2,47.0,Можайский, Говорова,10К2,95000
Антонио Фернандес,realtor,https://www.cian.ru/rent/flat/307327204/,11,14,2,48.5,Можайский,Можайское шоссе,34К2,60000
Людмила Беднякова,realtor,https://www.cian.ru/rent/flat/307299641/,2,5,2,59.0,Можайский,Сколковское шоссе,7,70000
Андрей Кулик,realtor,https://www.cian.ru/rent/flat/307273040/,2,5,2,43.0,Можайский, Кубинка,22К2,60000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305724250/,9,9,2,50.0,Можайский,Вяземская ,5,75000
ID 11646029,homeowner,https://www.cian.ru/rent/flat/305693797/,9,9,2,45.2,Можайский,Вяземская ,5,75000
ID 23360211,unknown,https://www.cian.ru/rent/flat/302975155/,4,13,2,99.5,Можайский, Кутузова,11К3,150000
ID 114610695,homeowner,https://www.cian.ru/rent/flat/299983185/,11,16,2,61.5,Можайский, Горбунова,19К1,70000
Алексей Мухамеджанов,realtor,https://www.cian.ru/rent/flat/299094698/,4,5,2,50.0,Можайский, Гришина,24К1,60000
ID 7305,realtor,https://www.cian.ru/rent/flat/276997564/,12,12,2,51.0,Можайский, Толбухина,6К2,60000
Павел Гринько,realtor,https://www.cian.ru/rent/flat/272342104/,9,17,3,130.0,Можайский, Толбухина,3К2,100000
Анна Тюрина,realtor,https://www.cian.ru/rent/flat/307672641/,10,24,3,51.0,Очаково-Матвеевское,Очаковское шоссе,5к4,120000
ID 12230898,realtor,https://www.cian.ru/rent/flat/287353738/,4,9,1,33.0,,шоссе Остафьевское,14к1,32999
ID 344391,realtor,https://www.cian.ru/rent/flat/257019480/,9,22,1,43.0,, Барышевская Роща,10,35000
Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307336960/,15,26,2,45.0,Очаково-Матвеевское,Нежинская ,5к2,160000
MERSI,real_estate_agent,https://www.cian.ru/rent/flat/306891465/,10,28,2,60.0,Фили-Давыдково,Славянский бульвар,9к6,110000
SKOLKOVO НЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/rent/flat/307771407/,9,23,3,134.0,Фили-Давыдково,Давыдковская ,16,180000
Арт Риэлти,real_estate_agent,https://www.cian.ru/rent/flat/307738450/,12,22,3,125.0,Фили-Давыдково,Давыдковская ,18,165000
Vmestate,real_estate_agent,https://www.cian.ru/rent/flat/307483873/,9,23,3,135.0,Фили-Давыдково,Давыдковская ,16,180000
Vmestate,real_estate_agent,https://www.cian.ru/rent/flat/306890427/,9,23,3,135.0,Фили-Давыдково,Давыдковская ,16,180000
RainbowEstate,real_estate_agent,https://www.cian.ru/rent/flat/306852999/,9,23,3,125.0,Фили-Давыдково,Давыдковская ,16,180000
ID 13069154,unknown,https://www.cian.ru/rent/flat/306804372/,14,22,3,80.0,Фили-Давыдково,Кременчугская ,3К3,110000
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/rent/flat/306633558/,9,23,3,134.0,Фили-Давыдково,Давыдковская ,16,180000
Елена Маранова,realtor,https://www.cian.ru/rent/flat/307716655/,3,8,2,54.0,Арбат,Большой Николопесковский переулок,12,120000
Роман Пятин,realtor,https://www.cian.ru/rent/flat/307591968/,12,24,2,53.9,Арбат, Новый Арбат,26,140000
NSGroup,real_estate_agent,https://www.cian.ru/rent/flat/244200663/,3,8,2,120.0,Арбат,Староконюшенный переулок,45,290000
Ирина Смолякова,realtor,https://www.cian.ru/rent/flat/216860890/,4,5,2,43.0,Дорогомилово,Бережковская набережная,10,120000
Selenahome,real_estate_agent,https://www.cian.ru/rent/flat/168743812/,6,7,2,100.0,Арбат,Кривоарбатский переулок,16/22,290000
KINS Group,real_estate_agent,https://www.cian.ru/rent/flat/307582728/,8,14,3,98.0,Дорогомилово,набережная Тараса Шевченко,1,228000
TROIKA ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/305737718/,2,7,3,161.6,Арбат, Малая Молчановка,8,1700000
ID 516237,realtor,https://www.cian.ru/rent/flat/194037059/,11,18,1,52.4,Аэропорт,Ленинградский проспект,66К2,100000
ID 65978,realtor,https://www.cian.ru/rent/flat/307739568/,5,8,2,52.0,Аэропорт, Асеева,2,75000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/306555453/,10,10,2,60.0,Сокол,Волоколамское шоссе,6,120000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306183870/,11,12,2,65.0,Сокол,Волоколамское шоссе,6,120000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/306060843/,10,11,2,65.0,Сокол,Волоколамское шоссе,6,120000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/305860711/,10,10,2,60.0,Сокол,Волоколамское шоссе,6,120000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305830941/,11,12,2,60.0,Сокол,Волоколамское шоссе,6,120000
ID 120292880,homeowner,https://www.cian.ru/rent/flat/305828190/,10,10,2,60.0,Сокол,Волоколамское шоссе,6,130000
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/287337857/,10,10,2,60.0,Сокол,Волоколамское шоссе,6,130500
Юлия Алимова,realtor,https://www.cian.ru/rent/flat/307343330/,5,8,3,97.0,Аэропорт, Черняховского,4,180000
Виталий Марков,realtor,https://www.cian.ru/rent/flat/306784562/,4,5,3,50.0,Хорошевский, Викторенко,16С1,130000
ID 59262903,realtor,https://www.cian.ru/rent/flat/305904331/,22,23,1,39.0,Соколиная гора,проспект Буденного,51к5,75000
ID 18563651,homeowner,https://www.cian.ru/rent/flat/285711206/,5,5,1,34.0,Северное Измайлово,5-я Парковая ,47К3,57000
Марина Коваль,realtor,https://www.cian.ru/rent/flat/307722948/,5,12,2,52.0,Соколиная гора, 5-я Соколиной Горы,25К4,65000
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305055453/,18,23,2,60.0,Соколиная гора,проспект Буденного,51к5,120000
Валерия Архипова,realtor,https://www.cian.ru/rent/flat/306701379/,10,15,3,115.0,Соколиная гора,проспект Буденного,26к2,160000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306663652/,10,15,3,115.0,Соколиная гора,проспект Буденного,26к2,160000
Квартирный вопрос,real_estate_agent,https://www.cian.ru/rent/flat/304790920/,5,5,3,102.6,Соколиная гора, 5-я Соколиной Горы,27к1,110000
ID 114613080,homeowner,https://www.cian.ru/rent/flat/303720476/,6,8,3,81.2,Соколиная гора,проспект Буденного,27,80000
ID 48091787,homeowner,https://www.cian.ru/rent/flat/283441001/,10,15,3,115.0,Соколиная гора,проспект Буденного,26к2,160000
ID 101711406,homeowner,https://www.cian.ru/rent/flat/307366647/,1,5,2,76.0,Басманный,Семеновская набережная,3/1К1,105000
Ирина  Маринина,realtor,https://www.cian.ru/rent/flat/300499982/,7,12,3,85.0,Сокольники,3-я Рыбинская ,1,120000
Тимофей Николаев,realtor,https://www.cian.ru/rent/flat/307697814/,6,22,1,32.0,Сокольники, Сокольнический Вал,1,90000
ЛАРТ-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307694113/,7,21,1,43.0,Сокольники, Сокольнический Вал,3,140000
Макромир,real_estate_agent,https://www.cian.ru/rent/flat/307673923/,18,21,1,43.8,Сокольники, Сокольнический Вал,3,129000
Каскад,real_estate_agent,https://www.cian.ru/rent/flat/307540913/,14,21,1,32.0,Сокольники, Сокольнический Вал,1ЖС4,75000
Столичная Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307364687/,11,21,1,42.0,Сокольники, Сокольнический Вал,3,150000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306694671/,11,21,1,27.0,Сокольники, Сокольнический Вал,3,85000
Алла Звоник,realtor,https://www.cian.ru/rent/flat/298969110/,8,21,1,25.0,Сокольники, Сокольнический Вал,1,85000
Премиум Сервис,real_estate_agent,https://www.cian.ru/rent/flat/290654096/,6,9,1,35.0,Сокольники, 3-я Сокольническая,1,80000
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307669759/,10,21,3,58.0,Сокольники, Сокольнический Вал,1,130500
CITY,real_estate_agent,https://www.cian.ru/rent/flat/307109219/,4,9,3,78.0,Сокольники, Матросская Тишина,12,200000
ID 19372618,homeowner,https://www.cian.ru/rent/flat/306621778/,6,21,3,53.0,Сокольники, Сокольнический Вал,1,120000
Сергей Георгиевский,realtor,https://www.cian.ru/rent/flat/305841657/,7,20,3,108.7,Сокольники,Рубцовско-Дворцовая ,4,220000
BEATRIX,real_estate_agent,https://www.cian.ru/rent/flat/291365307/,10,21,3,51.8,Сокольники, Сокольнический Вал,1к2,130000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307776256/,7,23,1,45.0,Солнцево,Производственная ,4А,100000
EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307772748/,2,12,1,36.0,Солнцево,Попутная ,1К2,45000
Олеся Фадеева,realtor,https://www.cian.ru/rent/flat/307703915/,9,9,1,33.0,Солнцево,Солнцевский проспект,5К2,65000
Татьяна Тонких,realtor,https://www.cian.ru/rent/flat/307697593/,5,17,1,42.6,Солнцево,Волынская ,9,55000
ID 167682,realtor,https://www.cian.ru/rent/flat/307686636/,5,23,1,52.5,Солнцево, Богданова,6к1,70000
ID 134808,unknown,https://www.cian.ru/rent/flat/307550691/,14,17,1,40.0,Солнцево, Богданова,2к1,60000
Надежда Меркулова,realtor,https://www.cian.ru/rent/flat/307297325/,16,22,1,38.0,Солнцево,Волынская ,3,55000
ID 121514881,homeowner,https://www.cian.ru/rent/flat/307635165/,16,17,2,51.3,Солнцево, Богданова,14К1,75000
Алла Хорошилова,realtor,https://www.cian.ru/rent/flat/307425703/,5,17,2,65.0,Солнцево, Богданова,14К1,85000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306788865/,10,11,2,53.0,Солнцево, Главмосстроя,14,88000
ID 206948,homeowner,https://www.cian.ru/rent/flat/306716123/,10,11,2,53.0,Солнцево, Главмосстроя,14,89000
Анна Игнатьева,realtor,https://www.cian.ru/rent/flat/306063822/,3,9,2,45.0,Солнцево,Солнцевский проспект,30,66000
ID 26158211,unknown,https://www.cian.ru/rent/flat/307686758/,14,17,3,82.5,Солнцево,Волынская ,12К1,85000
MRealty.Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307416553/,20,23,3,88.4,Солнцево, Богданова,6к1,100000
Светлана Джавриева,realtor,https://www.cian.ru/rent/flat/264129998/,3,9,3,55.0,Солнцево,Солнцевский проспект,9К2,65000
ID 17542,realtor,https://www.cian.ru/rent/flat/307656544/,9,9,2,45.0,Тропарево-Никулино, 26 Бакинских Комиссаров,1к2,70000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307766077/,3,22,1,27.0,,Родниковая ,30к3,65000
ID 78971330,unknown,https://www.cian.ru/rent/flat/307581518/,9,12,1,34.9,Солнцево, 50 лет Октября,1,55000
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305158264/,4,17,1,38.0,Солнцево, Богданова,6к1,60000
ID 130091,unknown,https://www.cian.ru/rent/flat/307623107/,3,23,2,65.0,Солнцево, Главмосстроя,5,60000
Екатерина Орлова,realtor,https://www.cian.ru/rent/flat/307774760/,8,25,1,40.0,Лефортово,Авиамоторная ,15,75000
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307762164/,3,5,1,17.0,Соколиная гора, Буракова,1К2,50500
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307634350/,9,9,2,37.0,Соколиная гора, 9-я Соколиной Горы,1,49000
Любовь Бунина,realtor,https://www.cian.ru/rent/flat/278842121/,1,5,2,42.0,Бабушкинский,Ленская ,19,55000
ID 2358,realtor,https://www.cian.ru/rent/flat/307228456/,6,12,3,98.0,Соколиная гора, 9-я Соколиной Горы,5,110000
Александр Глухов,realtor,https://www.cian.ru/rent/flat/307722737/,2,19,1,43.0,Покровское-Стрешнево,Волоколамское шоссе,71к1,90000
Юлия Аллегрова,realtor,https://www.cian.ru/rent/flat/307682797/,12,18,1,46.0,Южное Тушино,Лодочная ,11,75000
ID 52443511,realtor,https://www.cian.ru/rent/flat/307671403/,18,22,1,40.0,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,95000
ПРАКТИК,real_estate_agent,https://www.cian.ru/rent/flat/307664721/,8,12,1,39.0,Покровское-Стрешнево, Большая Набережная,5,45000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307630523/,16,19,1,40.0,Покровское-Стрешнево,Волоколамское шоссе,71к1,79500
ID 26390354,homeowner,https://www.cian.ru/rent/flat/307617764/,2,21,1,44.0,Покровское-Стрешнево,Волоколамское шоссе,71/8к1,95000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307613848/,17,26,1,59.0,Покровское-Стрешнево,бульвар Небесный,1к1,200000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307610216/,3,5,1,30.0,Южное Тушино,Лодочная ,25С1,70000
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307586964/,2,5,1,35.6,Покровское-Стрешнево, Большая Набережная,1к1,60000
Парус,real_estate_agent,https://www.cian.ru/rent/flat/307496098/,8,12,1,35.0,Южное Тушино,Лодочная ,33С2,55000
Dream Realty,real_estate_agent,https://www.cian.ru/rent/flat/307482364/,20,26,1,41.3,Покровское-Стрешнево,бульвар Небесный,1к1,100000
ID 121892959,homeowner,https://www.cian.ru/rent/flat/307458453/,17,26,1,59.0,Покровское-Стрешнево,бульвар Небесный,1к1,200000
Андрей Филиппов,realtor,https://www.cian.ru/rent/flat/307288139/,2,13,1,38.0,Покровское-Стрешнево,Волоколамское шоссе,71/22к2,78000
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307277411/,1,3,1,22.0,Покровское-Стрешнево,Волоколамское шоссе,вл116,55000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307268420/,9,13,1,20.0,Покровское-Стрешнево,Волоколамское шоссе,71/22к2,75000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307183314/,10,14,1,48.0,Покровское-Стрешнево,проезд Стратонавтов,14К1,55000
Алексей Фильчук,realtor,https://www.cian.ru/rent/flat/307060059/,7,20,1,44.0,Покровское-Стрешнево, Циолковского,7,68000
Правовой Центр Недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/306768920/,12,13,1,37.5,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,80000
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306511591/,15,24,1,40.0,Покровское-Стрешнево,Волоколамское шоссе,71/13к1,130500
ID 81392050,homeowner,https://www.cian.ru/rent/flat/306494332/,4,19,1,40.0,Покровское-Стрешнево,Волоколамское шоссе,71к2,90000
М БЭСТ ХАУС,real_estate_agent,https://www.cian.ru/rent/flat/289274323/,10,26,1,36.0,Покровское-Стрешнево,Летная ,95Бк2,90000
ID 467657,real_estate_agent,https://www.cian.ru/rent/flat/287561243/,18,23,1,45.0,Покровское-Стрешнево,Волоколамское шоссе,71к2,105000
Наталья Макаева,realtor,https://www.cian.ru/rent/flat/254110679/,7,8,1,45.0,Покровское-Стрешнево,Волоколамское шоссе,71к4,75000
ID 467657,real_estate_agent,https://www.cian.ru/rent/flat/252841899/,18,23,1,45.0,Покровское-Стрешнево,Волоколамское шоссе,71к2,105000
ID 60777,realtor,https://www.cian.ru/rent/flat/219368423/,16,19,1,40.0,Покровское-Стрешнево,Волоколамское шоссе,71к1,79500
Алексей Лупарев,realtor,https://www.cian.ru/rent/flat/306800254/,8,22,2,52.0,Покровское-Стрешнево,Волоколамское шоссе,71/22к1,107000
Монолит Столица,real_estate_agent,https://www.cian.ru/rent/flat/306345739/,2,25,2,65.0,Покровское-Стрешнево,Волоколамское шоссе,81/2с1,120000
ID 58178174,unknown,https://www.cian.ru/rent/flat/306309241/,14,26,2,41.0,Покровское-Стрешнево,Летная ,95Бк2,110000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/303971167/,2,25,2,57.0,Покровское-Стрешнево,Волоколамское шоссе,81/2с2,110000
ID 102856974,homeowner,https://www.cian.ru/rent/flat/303708568/,11,28,2,46.0,Покровское-Стрешнево,Волоколамское шоссе,81/2с2,125000
Александр Песоцкий,realtor,https://www.cian.ru/rent/flat/303230658/,22,22,2,33.0,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,95000
Ольга Лапина,realtor,https://www.cian.ru/rent/flat/274613507/,6,20,2,67.0,Покровское-Стрешнево, Циолковского,7,85000
Ирина Огородникова,realtor,https://www.cian.ru/rent/flat/307752403/,17,22,3,52.0,Покровское-Стрешнево,Волоколамское шоссе,71/22к1,163000
New Day Realty,real_estate_agent,https://www.cian.ru/rent/flat/307706166/,18,25,3,65.0,Покровское-Стрешнево,Волоколамское шоссе,81/2с3,200000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307534014/,6,13,3,60.0,Покровское-Стрешнево,бульвар Небесный,1к1,150000
EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307442356/,2,25,3,66.0,Покровское-Стрешнево,Волоколамское шоссе,81/2с1,120000
Savoir realty,real_estate_agent,https://www.cian.ru/rent/flat/307151491/,7,22,3,46.1,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,110000
ID 20889759,realtor,https://www.cian.ru/rent/flat/306752263/,8,24,3,61.8,Покровское-Стрешнево,бульвар Чкаловский,6,110000
ID 50703029,homeowner,https://www.cian.ru/rent/flat/305952759/,2,16,3,94.0,Покровское-Стрешнево,бульвар Небесный,1к1,45000
Александра  Демчук,realtor,https://www.cian.ru/rent/flat/305308325/,6,12,3,96.0,Покровское-Стрешнево,Волоколамское шоссе,71/13к2,40000
Михаил Домов,realtor,https://www.cian.ru/rent/flat/299697568/,4,25,3,89.2,Покровское-Стрешнево,Летная ,95Бк2,200000
ID 53412390,homeowner,https://www.cian.ru/rent/flat/293572131/,5,26,3,65.0,Покровское-Стрешнево,Волоколамское шоссе,81/2с2,85000
Жанна Кружилина,realtor,https://www.cian.ru/rent/flat/306661929/,11,17,2,60.0,Митино,переулок 3-й Митинский,1,75000
Елена Хазариди,realtor,https://www.cian.ru/rent/flat/305553652/,4,22,3,73.3,Щукино,Щукинская ,12к1,100000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307344836/,3,8,1,41.0,Хамовники,Комсомольский проспект,40,79900
ID 95072588,homeowner,https://www.cian.ru/rent/flat/301421881/,2,13,3,115.0,Хамовники, Усачева,11,550000
ID 32284683,unknown,https://www.cian.ru/rent/flat/211966323/,5,8,3,98.0,Хамовники,Фрунзенская набережная,32,200000
ID 72616824,homeowner,https://www.cian.ru/rent/flat/270093886/,5,5,1,30.0,Красносельский,Ананьевский переулок,4/2С1,75000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307718075/,4,8,2,60.0,Басманный,Чистопрудный бульвар,9С1,130000
Дмитрий Вологжанин,realtor,https://www.cian.ru/rent/flat/307703176/,1,5,2,53.8,Басманный, Жуковского,4С3,110000
SPENСER ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307590865/,3,8,2,55.6,Красносельский,Костянский переулок,13,495000
Дмитрий Шлык,realtor,https://www.cian.ru/rent/flat/306070949/,6,8,2,52.0,Красносельский,Мясницкая ,35А,150000
ID 24330,realtor,https://www.cian.ru/rent/flat/265324342/,2,9,2,45.0,Басманный,Чистопрудный бульвар,7/2,110000
Илья Соловьев,realtor,https://www.cian.ru/rent/flat/307781000/,1,7,3,67.7,Мещанский,переулок Печатников,15А,120000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307660371/,1,6,3,115.0,Красносельский,Уланский переулок,11А,320000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307590849/,5,8,3,94.0,Басманный,Чистопрудный бульвар,14С3,300000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307538138/,5,7,3,91.0,Басманный,Чистопрудный бульвар,14С3,300000
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307491917/,6,6,3,75.0,Басманный,Потаповский переулок,9,230000
Эльмира Шиткова,realtor,https://www.cian.ru/rent/flat/305006872/,3,7,3,103.7,Мещанский,Рождественский бульвар,5/7С1,280000
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/303299075/,3,5,3,180.0,Басманный,Мясницкая ,24/7С2,430000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/302998686/,3,5,3,180.0,Басманный,Мясницкая ,24/7С2,430000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/302905401/,2,5,3,182.0,Басманный,Мясницкая ,24/7С2,430000
Selenahome,real_estate_agent,https://www.cian.ru/rent/flat/286030829/,5,7,3,91.5,Басманный,Чистопрудный бульвар,14С3,300000
ID 16921690,realtor,https://www.cian.ru/rent/flat/215194648/,5,6,3,106.0,Мещанский,переулок Печатников,3С1,280000
Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307772915/,8,15,1,40.0,Рязанский,Рязанский проспект,6А,85000
Unique Property,real_estate_agent,https://www.cian.ru/rent/flat/307771220/,8,15,1,38.8,Рязанский,Рязанский проспект,6А,85000
Мария Чучина,realtor,https://www.cian.ru/rent/flat/307756668/,4,12,1,37.0,Рязанский, Коновалова,5,45000
Дмитрий Вологжанин,realtor,https://www.cian.ru/rent/flat/307433891/,13,23,1,37.0,Текстильщики,1-й Грайвороновский проезд,13к1,75000
Лилия Гросу,realtor,https://www.cian.ru/rent/flat/307104459/,5,31,1,36.0,Нижегородский,Газгольдерная ,10,85000
ID 65852539,realtor,https://www.cian.ru/rent/flat/307632634/,5,9,1,31.5,Рязанский, Михайлова,8,65000
Рамиз Азизов,realtor,https://www.cian.ru/rent/flat/307746162/,2,5,2,43.0,Рязанский, Михайлова,7,50000
ID 89662087,homeowner,https://www.cian.ru/rent/flat/307699894/,20,24,2,60.0,Рязанский,2-й Грайвороновский проезд,42к2,90000
Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307610575/,15,23,2,55.0,Рязанский, Васильцовский Стан,11,75000
ID 68462985,homeowner,https://www.cian.ru/rent/flat/307347394/,13,23,2,37.0,Текстильщики,1-й Грайвороновский проезд,13к1,80000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306736633/,26,32,2,41.0,Нижегородский,Газгольдерная ,10,130000
ID 121209487,homeowner,https://www.cian.ru/rent/flat/306731386/,26,32,2,41.0,Нижегородский,Газгольдерная ,10,130000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305670337/,2,24,2,58.0,Рязанский,2-й Грайвороновский проезд,42к4,90000
Дмитрий Антипов,realtor,https://www.cian.ru/rent/flat/291743209/,9,23,2,38.0,Рязанский,2-й Грайвороновский проезд,44к3,86000
Homeprice,real_estate_agent,https://www.cian.ru/rent/flat/283275476/,8,22,2,40.0,Рязанский,2-й Грайвороновский проезд,44к1,85000
ID 10421764,realtor,https://www.cian.ru/rent/flat/278418624/,12,19,2,51.0,Рязанский,2-й Грайвороновский проезд,42к1,80000
ID 82691273,realtor,https://www.cian.ru/rent/flat/307814482/,4,22,3,60.0,Нижегородский,Газгольдерная ,10,130000
РИЭЛТ ХАУС,real_estate_agent,https://www.cian.ru/rent/flat/307773927/,24,31,3,54.0,Нижегородский,Газгольдерная ,14,100000
ID 7782,realtor,https://www.cian.ru/rent/flat/307730280/,10,14,1,37.0,Покровское-Стрешнево,Волоколамское шоссе,56К1,55000
Наталия Хлесткова,realtor,https://www.cian.ru/rent/flat/307714811/,4,17,1,36.3,Покровское-Стрешнево,Волоколамское шоссе,41к1,65000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307335561/,16,22,1,50.0,Щукино,Щукинская ,2,125000
ID 7324073,homeowner,https://www.cian.ru/rent/flat/306107999/,16,22,1,50.9,Щукино,Щукинская ,2,125000
ID 221421,realtor,https://www.cian.ru/rent/flat/293591835/,20,28,1,26.0,Щукино,Волоколамское шоссе,24к2,75000
ID 10955341,unknown,https://www.cian.ru/rent/flat/277064229/,11,14,1,39.0,Войковский,1-я Радиаторская ,1,77000
Валерия Архипова,realtor,https://www.cian.ru/rent/flat/307650472/,10,24,2,75.0,Щукино,Щукинская ,2,120000
Михаил Прочерков,realtor,https://www.cian.ru/rent/flat/307608373/,28,28,2,43.0,Щукино,Волоколамское шоссе,24к1,95000
Алла Звоник,realtor,https://www.cian.ru/rent/flat/307398831/,7,9,2,45.0,Войковский,Ленинградское шоссе,9К1,55000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307223381/,16,24,2,41.0,Щукино,Волоколамское шоссе,24к1,100000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307132962/,10,24,2,75.0,Щукино,Щукинская ,2,120000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307062736/,10,24,2,73.0,Щукино,Щукинская ,2,120000
ID 108360579,homeowner,https://www.cian.ru/rent/flat/307060176/,10,24,2,75.0,Щукино,Щукинская ,2,120000
МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/305833276/,10,10,2,60.0,Сокол,Волоколамское шоссе,6,120000
ID 50256654,unknown,https://www.cian.ru/rent/flat/307607838/,2,6,3,80.0,Войковский,Ленинградское шоссе,17/1,124990
Елена Кульпина,realtor,https://www.cian.ru/rent/flat/307489286/,15,22,3,100.0,Щукино,Щукинская ,2,250000
